-180	1111
-165	369
-150	98
-135	38
-120	62
-105	578
-90	3294
-75	4191
-60	1638
-45	258
-30	23
-15	5
0	1
15	21
30	227
45	1396
60	3408
75	2689
90	547
105	66
120	29
135	83
150	402
165	1120
